hotel_name,address,stars,rating,review_count,actual_price,discount_price,taxes
Ameritania at Times Square,"Manhattan, New York",4,7.8,"3,297 reviews","₹ 157,325","₹ 138,446","+₹ 33,042 taxes and charges"
Park Lane New York,"Manhattan, New York",5,8.3,879 reviews,"₹ 341,429","₹ 341,429","+₹ 76,727 taxes and charges"
Paramount Hotel Times Square,"Manhattan, New York",4,7.1,939 reviews,"₹ 113,354","₹ 113,354","+₹ 37,599 taxes and charges"
Royalton New York,"Manhattan, New York",4,7.7,964 reviews,"₹ 182,638","₹ 182,638","+₹ 47,818 taxes and charges"
La Quinta by Wyndham New York City Central Park,"Upper West Side, New York",3,6.7,"2,628 reviews","₹ 97,994","₹ 97,994","+₹ 30,184 taxes and charges"
Row NYC at Times Square,"Manhattan, New York",4,6.8,"6,912 reviews","₹ 128,634","₹ 109,339","+₹ 37,007 taxes and charges"
Pod Times Square,"Hell's Kitchen, New York",4,8.2,"11,884 reviews","₹ 152,543","₹ 129,662","+₹ 31,773 taxes and charges"
SpringHill Suites by Marriott New York Manhattan Chelsea,"Chelsea, New York",4,8.1,"1,846 reviews","₹ 138,724","₹ 138,724","+₹ 22,135 taxes and charges"
"The Draper, Ascend Hotel Collection","Manhattan, New York",3,8.3,609 reviews,"₹ 153,277","₹ 153,277","+₹ 24,282 taxes and charges"
Hilton Garden Inn Times Square,"Manhattan, New York",3,7.7,"1,958 reviews","₹ 127,040","₹ 127,040","+₹ 20,412 taxes and charges"
Best Western Premier Empire State Hotel,"NoMad, New York",3,8.1,619 reviews,"₹ 128,709","₹ 128,709","+₹ 20,658 taxes and charges"
YOTEL New York Times Square,"Hell's Kitchen, New York",4,7.2,"3,529 reviews","₹ 114,910","₹ 109,164","+₹ 36,984 taxes and charges"
Hyatt Grand Central New York,"Midtown East, New York",4,7.5,"1,530 reviews","₹ 146,566","₹ 124,581","+₹ 45,477 taxes and charges"
"Hotel 50 Bowery, part of JdV by Hyatt","Chinatown, New York",4,8.7,995 reviews,"₹ 127,822","₹ 127,822","+₹ 34,255 taxes and charges"
Pod 51,"Midtown East, New York",3,7.8,"6,594 reviews","₹ 94,363","₹ 80,209","+₹ 24,479 taxes and charges"
Wingate by Wyndham New York Midtown South/5th Ave,"Manhattan, New York",3,8.0,"1,428 reviews","₹ 121,315","₹ 121,315","+₹ 19,568 taxes and charges"
Graduate Roosevelt Island,New York,4,8.6,"1,257 reviews","₹ 125,446","₹ 106,629","+₹ 36,607 taxes and charges"
The Marlton Hotel,"Greenwich Village, New York",4,8.4,640 reviews,"₹ 183,180","₹ 183,180","+₹ 29,490 taxes and charges"
Hyatt Place New York City/Times Square,"Hell's Kitchen, New York",4,7.6,"12,434 reviews","₹ 133,416","₹ 133,416","+₹ 21,352 taxes and charges"
TBA Times Square,"Hell's Kitchen, New York",3,7.5,"4,453 reviews","₹ 129,471","₹ 129,471","+₹ 21,727 taxes and charges"
Sonder Henri on 24,"Flatiron District, New York",0,8.1,75 reviews,"₹ 158,600","₹ 158,600","+₹ 25,314 taxes and charges"
Hotel Edison Times Square,"Manhattan, New York",4,7.5,"12,135 reviews","₹ 125,765","₹ 125,765","+₹ 39,429 taxes and charges"
Truss Hotel Times Square,"Hell's Kitchen, New York",4,8.4,33 reviews,"₹ 131,822","₹ 131,822","+₹ 21,117 taxes and charges"
MOXY NYC Times Square,"Manhattan, New York",4,8.1,"9,789 reviews","₹ 139,074","₹ 139,074","+₹ 38,647 taxes and charges"
Henn na Hotel New York,"Manhattan, New York",4,8.6,"1,013 reviews","₹ 172,173","₹ 146,348","+₹ 34,234 taxes and charges"
Ameritania at Times Square,"Manhattan, New York",4,7.8,"3,297 reviews","₹ 157,325","₹ 138,446","+₹ 33,042 taxes and charges"
Row NYC at Times Square,"Manhattan, New York",4,6.8,"6,912 reviews","₹ 128,634","₹ 109,339","+₹ 37,007 taxes and charges"
Pod Times Square,"Hell's Kitchen, New York",4,8.2,"11,884 reviews","₹ 152,543","₹ 129,662","+₹ 31,773 taxes and charges"
SpringHill Suites by Marriott New York Manhattan Chelsea,"Chelsea, New York",4,8.1,"1,846 reviews","₹ 138,724","₹ 138,724","+₹ 22,135 taxes and charges"
Hilton Garden Inn Times Square,"Manhattan, New York",3,7.7,"1,958 reviews","₹ 127,040","₹ 127,040","+₹ 20,412 taxes and charges"
Hyatt Grand Central New York,"Midtown East, New York",4,7.5,"1,530 reviews","₹ 146,566","₹ 124,581","+₹ 45,477 taxes and charges"
"Hotel 50 Bowery, part of JdV by Hyatt","Chinatown, New York",4,8.7,995 reviews,"₹ 127,822","₹ 127,822","+₹ 34,255 taxes and charges"
Pod 51,"Midtown East, New York",3,7.8,"6,594 reviews","₹ 94,363","₹ 80,209","+₹ 24,479 taxes and charges"
Wingate by Wyndham New York Midtown South/5th Ave,"Manhattan, New York",3,8.0,"1,428 reviews","₹ 127,700","₹ 127,700","+₹ 20,509 taxes and charges"
Graduate Roosevelt Island,New York,4,8.6,"1,257 reviews","₹ 125,446","₹ 106,629","+₹ 36,607 taxes and charges"
Hyatt Place New York City/Times Square,"Hell's Kitchen, New York",4,7.6,"12,434 reviews","₹ 133,416","₹ 133,416","+₹ 21,352 taxes and charges"
TBA Times Square,"Hell's Kitchen, New York",3,7.5,"4,453 reviews","₹ 129,471","₹ 129,471","+₹ 21,727 taxes and charges"
Hotel Edison Times Square,"Manhattan, New York",4,7.5,"12,135 reviews","₹ 125,765","₹ 125,765","+₹ 39,429 taxes and charges"
YOTEL New York Times Square,"Hell's Kitchen, New York",4,7.2,"3,529 reviews","₹ 127,677","₹ 121,293","+₹ 38,773 taxes and charges"
MOXY NYC Times Square,"Manhattan, New York",4,8.1,"9,789 reviews","₹ 139,074","₹ 139,074","+₹ 38,647 taxes and charges"
"The New Yorker, A Wyndham Hotel","Hell's Kitchen, New York",4,7.7,"8,193 reviews","₹ 111,020","₹ 111,020","+₹ 33,962 taxes and charges"
U Hotel Fifth Avenue I Empire State Building,"Manhattan, New York",3,7.9,"1,332 reviews","₹ 139,584","₹ 111,667","+₹ 29,119 taxes and charges"
Times Square EDITION New York,"Manhattan, New York",5,8.7,888 reviews,"₹ 177,409","₹ 177,409","+₹ 47,047 taxes and charges"
Pod 39,"Murray Hill, New York",3,8.1,"5,038 reviews","₹ 125,446","₹ 106,629","+₹ 28,376 taxes and charges"
Freehand New York,"Gramercy, New York",4,8.0,"1,172 reviews","₹ 147,283","₹ 147,283","+₹ 37,116 taxes and charges"
"Hotel Indigo Lower East Side, an IHG Hotel","Lower East Side, New York",4,7.7,810 reviews,"₹ 142,342","₹ 142,342","+₹ 38,407 taxes and charges"
Hampton Inn Manhattan Times Square North,"Hell's Kitchen, New York",3,7.8,"2,360 reviews","₹ 137,399","₹ 137,399","+₹ 21,940 taxes and charges"
CIVILIAN Hotel,"Hell's Kitchen, New York",4,8.4,659 reviews,"₹ 134,213","₹ 134,213","+₹ 21,470 taxes and charges"
"Crowne Plaza HY36 Midtown Manhattan, an IHG Hotel","Hell's Kitchen, New York",4,8.5,585 reviews,"₹ 152,543","₹ 152,543","+₹ 40,636 taxes and charges"
"Holiday Inn Express New York City Chelsea, an IHG Hotel","Chelsea, New York",3,7.9,"3,024 reviews","₹ 118,193","₹ 118,193","+₹ 27,338 taxes and charges"
Ameritania at Times Square,"Manhattan, New York",4,7.8,"3,297 reviews","₹ 157,325","₹ 138,446","+₹ 33,042 taxes and charges"
Row NYC at Times Square,"Manhattan, New York",4,6.8,"6,912 reviews","₹ 128,634","₹ 109,339","+₹ 37,007 taxes and charges"
Pod Times Square,"Hell's Kitchen, New York",4,8.2,"11,884 reviews","₹ 152,543","₹ 129,662","+₹ 31,773 taxes and charges"
SpringHill Suites by Marriott New York Manhattan Chelsea,"Chelsea, New York",4,8.1,"1,846 reviews","₹ 138,724","₹ 138,724","+₹ 22,135 taxes and charges"
Hilton Garden Inn Times Square,"Manhattan, New York",3,7.7,"1,958 reviews","₹ 127,040","₹ 127,040","+₹ 20,412 taxes and charges"
YOTEL New York Times Square,"Hell's Kitchen, New York",4,7.2,"3,529 reviews","₹ 114,910","₹ 109,164","+₹ 36,984 taxes and charges"
Hyatt Grand Central New York,"Midtown East, New York",4,7.5,"1,530 reviews","₹ 146,566","₹ 124,581","+₹ 45,477 taxes and charges"
"Hotel 50 Bowery, part of JdV by Hyatt","Chinatown, New York",4,8.7,995 reviews,"₹ 127,822","₹ 127,822","+₹ 34,255 taxes and charges"
Pod 51,"Midtown East, New York",3,7.8,"6,594 reviews","₹ 94,363","₹ 80,209","+₹ 24,479 taxes and charges"
Wingate by Wyndham New York Midtown South/5th Ave,"Manhattan, New York",3,8.0,"1,428 reviews","₹ 121,315","₹ 121,315","+₹ 19,568 taxes and charges"
Graduate Roosevelt Island,New York,4,8.6,"1,257 reviews","₹ 125,446","₹ 106,629","+₹ 36,607 taxes and charges"
Hyatt Place New York City/Times Square,"Hell's Kitchen, New York",4,7.6,"12,434 reviews","₹ 133,416","₹ 133,416","+₹ 21,352 taxes and charges"
TBA Times Square,"Hell's Kitchen, New York",3,7.5,"4,453 reviews","₹ 129,471","₹ 129,471","+₹ 21,727 taxes and charges"
Hotel Edison Times Square,"Manhattan, New York",4,7.5,"12,135 reviews","₹ 125,765","₹ 125,765","+₹ 39,429 taxes and charges"
MOXY NYC Times Square,"Manhattan, New York",4,8.1,"9,789 reviews","₹ 139,074","₹ 139,074","+₹ 38,647 taxes and charges"
"The New Yorker, A Wyndham Hotel","Hell's Kitchen, New York",4,7.7,"8,193 reviews","₹ 111,020","₹ 111,020","+₹ 33,962 taxes and charges"
U Hotel Fifth Avenue I Empire State Building,"Manhattan, New York",3,7.9,"1,332 reviews","₹ 139,584","₹ 111,667","+₹ 29,119 taxes and charges"
Times Square EDITION New York,"Manhattan, New York",5,8.7,888 reviews,"₹ 177,409","₹ 177,409","+₹ 47,047 taxes and charges"
Pod 39,"Murray Hill, New York",3,8.1,"5,038 reviews","₹ 125,446","₹ 106,629","+₹ 28,376 taxes and charges"
Freehand New York,"Gramercy, New York",4,8.0,"1,172 reviews","₹ 147,283","₹ 147,283","+₹ 37,116 taxes and charges"
"Hotel Indigo Lower East Side, an IHG Hotel","Lower East Side, New York",4,7.7,810 reviews,"₹ 142,342","₹ 142,342","+₹ 38,407 taxes and charges"
Hampton Inn Manhattan Times Square North,"Hell's Kitchen, New York",3,7.8,"2,360 reviews","₹ 137,399","₹ 137,399","+₹ 21,940 taxes and charges"
CIVILIAN Hotel,"Hell's Kitchen, New York",4,8.4,659 reviews,"₹ 134,213","₹ 134,213","+₹ 21,470 taxes and charges"
"Crowne Plaza HY36 Midtown Manhattan, an IHG Hotel","Hell's Kitchen, New York",4,8.5,585 reviews,"₹ 152,543","₹ 152,543","+₹ 40,636 taxes and charges"
"Holiday Inn Express New York City Chelsea, an IHG Hotel","Chelsea, New York",3,7.9,"3,024 reviews","₹ 118,193","₹ 118,193","+₹ 27,338 taxes and charges"
Ameritania at Times Square,"Manhattan, New York",4,7.8,"3,297 reviews","₹ 157,325","₹ 138,446","+₹ 33,042 taxes and charges"
"The New Yorker, A Wyndham Hotel","Hell's Kitchen, New York",4,7.7,"8,193 reviews","₹ 111,020","₹ 111,020","+₹ 33,962 taxes and charges"
Row NYC at Times Square,"Manhattan, New York",4,6.8,"6,912 reviews","₹ 128,634","₹ 109,339","+₹ 37,007 taxes and charges"
Hyatt Grand Central New York,"Midtown East, New York",4,7.5,"1,530 reviews","₹ 146,566","₹ 124,581","+₹ 45,477 taxes and charges"
Pod Times Square,"Hell's Kitchen, New York",4,8.2,"11,884 reviews","₹ 152,543","₹ 129,662","+₹ 31,773 taxes and charges"
SpringHill Suites by Marriott New York Manhattan Chelsea,"Chelsea, New York",4,8.1,"1,846 reviews","₹ 138,724","₹ 138,724","+₹ 22,135 taxes and charges"
Hotel Edison Times Square,"Manhattan, New York",4,7.5,"12,135 reviews","₹ 125,765","₹ 125,765","+₹ 39,429 taxes and charges"
Hilton Garden Inn Times Square,"Manhattan, New York",3,7.7,"1,958 reviews","₹ 127,040","₹ 127,040","+₹ 20,412 taxes and charges"
Hyatt Place New York City/Times Square,"Hell's Kitchen, New York",4,7.6,"12,434 reviews","₹ 133,416","₹ 133,416","+₹ 21,352 taxes and charges"
"Holiday Inn Express - Times Square, an IHG Hotel","Hell's Kitchen, New York",3,6.6,"2,641 reviews","₹ 114,408","₹ 114,408","+₹ 26,780 taxes and charges"
YOTEL New York Times Square,"Hell's Kitchen, New York",4,7.2,"3,529 reviews","₹ 114,910","₹ 109,164","+₹ 36,984 taxes and charges"
"Hotel 50 Bowery, part of JdV by Hyatt","Chinatown, New York",4,8.7,995 reviews,"₹ 127,822","₹ 127,822","+₹ 34,255 taxes and charges"
Graduate Roosevelt Island,New York,4,8.6,"1,257 reviews","₹ 125,446","₹ 106,629","+₹ 36,607 taxes and charges"
Doubletree By Hilton New York Times Square West,"Hell's Kitchen, New York",4,7.1,"13,507 reviews","₹ 144,651","₹ 144,651","+₹ 23,010 taxes and charges"
Pod 51,"Midtown East, New York",3,7.8,"6,594 reviews","₹ 94,363","₹ 80,209","+₹ 24,479 taxes and charges"
The Manhattan at Times Square,"Manhattan, New York",4,5.9,"3,451 reviews","₹ 140,589","₹ 105,441","+₹ 36,677 taxes and charges"
Wingate by Wyndham New York Midtown South/5th Ave,"Manhattan, New York",3,8.0,"1,428 reviews","₹ 121,315","₹ 121,315","+₹ 19,568 taxes and charges"
TBA Times Square,"Hell's Kitchen, New York",3,7.5,"4,453 reviews","₹ 129,471","₹ 129,471","+₹ 21,727 taxes and charges"
MOXY NYC Times Square,"Manhattan, New York",4,8.1,"9,789 reviews","₹ 139,074","₹ 139,074","+₹ 38,647 taxes and charges"
Bentley Hotel,"Upper East Side, New York",4,6.9,"2,179 reviews","₹ 136,604","₹ 116,113","+₹ 29,747 taxes and charges"
U Hotel Fifth Avenue I Empire State Building,"Manhattan, New York",3,7.9,"1,332 reviews","₹ 139,584","₹ 111,667","+₹ 29,119 taxes and charges"
Times Square EDITION New York,"Manhattan, New York",5,8.7,888 reviews,"₹ 177,409","₹ 177,409","+₹ 47,047 taxes and charges"
SpringHill Suites by Marriott New York Manhattan/Times Square South,"Hell's Kitchen, New York",3,8.0,"3,506 reviews","₹ 154,616","₹ 154,616","+₹ 24,479 taxes and charges"
Courtyard New York Downtown Manhattan/Financial District,"Wall Street - Financial District, New York",3,7.2,315 reviews,"₹ 105,282","₹ 105,282","+₹ 17,203 taxes and charges"
Pod 39,"Murray Hill, New York",3,8.1,"5,038 reviews","₹ 125,446","₹ 106,629","+₹ 28,376 taxes and charges"
Ameritania at Times Square,"Manhattan, New York",4,7.8,"3,297 reviews","₹ 157,325","₹ 138,446","+₹ 33,042 taxes and charges"
Row NYC at Times Square,"Manhattan, New York",4,6.8,"6,912 reviews","₹ 128,634","₹ 109,339","+₹ 37,007 taxes and charges"
Pod Times Square,"Hell's Kitchen, New York",4,8.2,"11,884 reviews","₹ 152,543","₹ 129,662","+₹ 31,773 taxes and charges"
SpringHill Suites by Marriott New York Manhattan Chelsea,"Chelsea, New York",4,8.1,"1,846 reviews","₹ 138,724","₹ 138,724","+₹ 22,135 taxes and charges"
Hilton Garden Inn Times Square,"Manhattan, New York",3,7.7,"1,958 reviews","₹ 127,040","₹ 127,040","+₹ 20,412 taxes and charges"
YOTEL New York Times Square,"Hell's Kitchen, New York",4,7.2,"3,529 reviews","₹ 114,910","₹ 109,164","+₹ 36,984 taxes and charges"
Hyatt Grand Central New York,"Midtown East, New York",4,7.5,"1,530 reviews","₹ 146,566","₹ 124,581","+₹ 45,477 taxes and charges"
"Hotel 50 Bowery, part of JdV by Hyatt","Chinatown, New York",4,8.7,995 reviews,"₹ 127,822","₹ 127,822","+₹ 34,255 taxes and charges"
Pod 51,"Midtown East, New York",3,7.8,"6,594 reviews","₹ 94,363","₹ 80,209","+₹ 24,479 taxes and charges"
Wingate by Wyndham New York Midtown South/5th Ave,"Manhattan, New York",3,8.0,"1,428 reviews","₹ 121,315","₹ 121,315","+₹ 19,568 taxes and charges"
Graduate Roosevelt Island,New York,4,8.6,"1,257 reviews","₹ 125,446","₹ 106,629","+₹ 36,607 taxes and charges"
Hyatt Place New York City/Times Square,"Hell's Kitchen, New York",4,7.6,"12,434 reviews","₹ 133,416","₹ 133,416","+₹ 21,352 taxes and charges"
TBA Times Square,"Hell's Kitchen, New York",3,7.5,"4,453 reviews","₹ 129,471","₹ 129,471","+₹ 21,727 taxes and charges"
Hotel Edison Times Square,"Manhattan, New York",4,7.5,"12,135 reviews","₹ 125,765","₹ 125,765","+₹ 39,429 taxes and charges"
MOXY NYC Times Square,"Manhattan, New York",4,8.1,"9,789 reviews","₹ 139,074","₹ 139,074","+₹ 38,647 taxes and charges"
"The New Yorker, A Wyndham Hotel","Hell's Kitchen, New York",4,7.7,"8,193 reviews","₹ 111,020","₹ 111,020","+₹ 33,962 taxes and charges"
U Hotel Fifth Avenue I Empire State Building,"Manhattan, New York",3,7.9,"1,332 reviews","₹ 139,584","₹ 111,667","+₹ 29,119 taxes and charges"
Times Square EDITION New York,"Manhattan, New York",5,8.7,888 reviews,"₹ 177,409","₹ 177,409","+₹ 47,047 taxes and charges"
Pod 39,"Murray Hill, New York",3,8.1,"5,038 reviews","₹ 125,446","₹ 106,629","+₹ 28,376 taxes and charges"
Freehand New York,"Gramercy, New York",4,8.0,"1,172 reviews","₹ 147,283","₹ 147,283","+₹ 37,116 taxes and charges"
"Hotel Indigo Lower East Side, an IHG Hotel","Lower East Side, New York",4,7.7,810 reviews,"₹ 142,342","₹ 142,342","+₹ 38,407 taxes and charges"
Hampton Inn Manhattan Times Square North,"Hell's Kitchen, New York",3,7.8,"2,360 reviews","₹ 137,399","₹ 137,399","+₹ 21,940 taxes and charges"
CIVILIAN Hotel,"Hell's Kitchen, New York",4,8.4,659 reviews,"₹ 134,213","₹ 134,213","+₹ 21,470 taxes and charges"
"Crowne Plaza HY36 Midtown Manhattan, an IHG Hotel","Hell's Kitchen, New York",4,8.5,585 reviews,"₹ 152,543","₹ 152,543","+₹ 40,636 taxes and charges"
"Holiday Inn Express New York City Chelsea, an IHG Hotel","Chelsea, New York",3,7.9,"3,024 reviews","₹ 118,193","₹ 118,193","+₹ 27,338 taxes and charges"
Paramount Hotel Times Square,"Manhattan, New York",4,7.1,939 reviews,"₹ 113,354","₹ 113,354","+₹ 37,599 taxes and charges"
La Quinta by Wyndham New York City Central Park,"Upper West Side, New York",3,6.7,"2,628 reviews","₹ 97,994","₹ 97,994","+₹ 30,184 taxes and charges"
Row NYC at Times Square,"Manhattan, New York",4,6.8,"6,912 reviews","₹ 128,634","₹ 109,339","+₹ 37,007 taxes and charges"
Pod Times Square,"Hell's Kitchen, New York",4,8.2,"11,884 reviews","₹ 152,543","₹ 129,662","+₹ 31,773 taxes and charges"
SpringHill Suites by Marriott New York Manhattan Chelsea,"Chelsea, New York",4,8.1,"1,846 reviews","₹ 138,724","₹ 138,724","+₹ 22,135 taxes and charges"
"The Draper, Ascend Hotel Collection","Manhattan, New York",3,8.3,609 reviews,"₹ 153,277","₹ 153,277","+₹ 24,282 taxes and charges"
Hilton Garden Inn Times Square,"Manhattan, New York",3,7.7,"1,958 reviews","₹ 127,040","₹ 127,040","+₹ 20,412 taxes and charges"
Best Western Premier Empire State Hotel,"NoMad, New York",3,8.1,619 reviews,"₹ 128,709","₹ 128,709","+₹ 20,658 taxes and charges"
YOTEL New York Times Square,"Hell's Kitchen, New York",4,7.2,"3,529 reviews","₹ 114,910","₹ 109,164","+₹ 36,984 taxes and charges"
Hyatt Grand Central New York,"Midtown East, New York",4,7.5,"1,530 reviews","₹ 146,566","₹ 124,581","+₹ 45,477 taxes and charges"
"Hotel 50 Bowery, part of JdV by Hyatt","Chinatown, New York",4,8.7,995 reviews,"₹ 127,822","₹ 127,822","+₹ 34,255 taxes and charges"
Pod 51,"Midtown East, New York",3,7.8,"6,594 reviews","₹ 94,363","₹ 80,209","+₹ 24,479 taxes and charges"
Wingate by Wyndham New York Midtown South/5th Ave,"Manhattan, New York",3,8.0,"1,428 reviews","₹ 121,315","₹ 121,315","+₹ 19,568 taxes and charges"
Graduate Roosevelt Island,New York,4,8.6,"1,257 reviews","₹ 125,446","₹ 106,629","+₹ 36,607 taxes and charges"
The Marlton Hotel,"Greenwich Village, New York",4,8.4,640 reviews,"₹ 183,180","₹ 183,180","+₹ 29,490 taxes and charges"
Hyatt Place New York City/Times Square,"Hell's Kitchen, New York",4,7.6,"12,434 reviews","₹ 133,416","₹ 133,416","+₹ 21,352 taxes and charges"
TBA Times Square,"Hell's Kitchen, New York",3,7.5,"4,453 reviews","₹ 129,471","₹ 129,471","+₹ 21,727 taxes and charges"
Sonder Henri on 24,"Flatiron District, New York",0,8.1,75 reviews,"₹ 158,600","₹ 158,600","+₹ 25,314 taxes and charges"
Hotel Edison Times Square,"Manhattan, New York",4,7.5,"12,135 reviews","₹ 125,765","₹ 125,765","+₹ 39,429 taxes and charges"
Truss Hotel Times Square,"Hell's Kitchen, New York",4,8.4,33 reviews,"₹ 131,822","₹ 131,822","+₹ 21,117 taxes and charges"
MOXY NYC Times Square,"Manhattan, New York",4,8.1,"9,789 reviews","₹ 139,074","₹ 139,074","+₹ 38,647 taxes and charges"
Henn na Hotel New York,"Manhattan, New York",4,8.6,"1,013 reviews","₹ 172,173","₹ 146,348","+₹ 34,234 taxes and charges"
"The New Yorker, A Wyndham Hotel","Hell's Kitchen, New York",4,7.7,"8,193 reviews","₹ 111,020","₹ 111,020","+₹ 33,962 taxes and charges"
The Wallace Hotel,"Upper West Side, New York",5,9.2,464 reviews,"₹ 262,049","₹ 222,742","+₹ 33,971 taxes and charges"
U Hotel Fifth Avenue I Empire State Building,"Manhattan, New York",3,7.9,"1,332 reviews","₹ 139,584","₹ 111,667","+₹ 29,119 taxes and charges"
